ID,Nombre nivel,Tipo personaje,Inglés,Español
,Everything is greed,Tablón (Pista inicial),Not all that glitters is gold.,No es oro todo lo que reluce.
01.01.01,Everything is greed,Honesto,Give me a coin and you'll be richer than you were before.,Dame una moneda y serás más rico de lo que eras antes.
01.02.02,Everything is greed,Honesto,"Do you want more gold?
It will only cost you one coin.","¿Quieres más oro? 
Solo te costará una moneda."
01.02.03,Everything is greed,Honesto,"You have little gold,
with only one coin I can convert it into thousands.","Tienes poco oro,
con solo una moneda podré convertirla en miles."
01.02.04,Everything is greed,Honesto,"If you want to win, you will have to risk.","Si quieres ganar, tendrás que arriesgar."
01.02.05,Everything is greed,Honesto,Do you want to take commission?,¿Quieres llevarte comisión?
01.02.06,Everything is greed,Honesto,"If you want to have more,
you must trust me.","Si quieres tener más,
debes confiar en mí."
01.03.01,Everything is greed,Mentiroso,"If you give me everything you have,
I will make you richer than you can dream.","Si me das todo lo que tienes,
te haré más rico de lo que puedas soñar."
01.03.02,Everything is greed,Mentiroso,The true wealth is within you.,La verdadera riqueza está en tu interior.
01.04.01,Everything is greed,Machacar,The greed breaks the bag.,La avaricia rompe el saco.
01.05.01,Everything is greed,Epitaceo,"The drink quenches thirst,
food satisfies hunger;
But gold never quenches greed.
                                       Plutero","La bebida apaga la sed,
la comida satisface el hambre;
pero el oro no apaga jamás la avaricia.
                                              Plutero."